Claims,Beneficiaries,Female_Ratio,Age,Pens_ratio,Depen_ratio
-0.383260842,-0.143998943,-0.027781782,-0.699568809,-0.403389489,0.904226487
-0.535181086,-0.288747357,-0.101893748,-0.504222487,-0.378731971,0.409939864
-0.932151033,-0.299469462,-0.339309181,-0.861641856,-0.647851173,0.249895032
1.44937499,-0.29475008,0.282106564,0.804168535,0.895004989,0.909962084
-0.373844136,-0.364526557,0.1595804,-0.459142567,-0.409025493,-0.175959179
0.757648445,0.045707794,0.053287809,0.110796427,-0.342097943,0.493770925
-0.370065707,0.05878959,-0.277046366,0.254622839,-0.060297731,0.039498466
0.366864941,-0.255670285,0.134703607,-0.128556484,-0.211765345,0.461484129
0.364045802,-0.37160563,1.216005457,2.194132747,2.175082453,-1.157972035
2.580260673,-0.39886627,1.701818333,3.747243338,3.932811276,-1.760267045
-1.08826083,-0.126259862,-1.850648888,-0.45377591,-0.607694643,0.073642107
-1.025495843,-0.362953429,-1.342936217,-0.965755006,-0.740140743,-2.674498365
-0.576919998,0.267373855,-0.860563454,-1.212621236,-0.769729765,1.477602005
0.104117312,0.655646521,0.008441156,-0.46880255,-0.39141298,1.229594787
0.222795215,0.995069442,0.416445884,0.258916165,0.036218842,0.595378851
-0.569656801,-0.269952625,0.238756341,-0.097429872,-0.20472034,1.044991032
-0.63226517,-0.394395277,-0.13477457,-0.015856683,-0.189221328,-0.617170478
-1.077806525,-0.341219433,0.328656687,-0.414062647,-0.379436471,-0.844720666
-1.152200459,-0.292597379,-0.176950752,-1.037668212,-0.754230753,-0.821823343
-1.036126344,-0.125204211,-0.322552867,-0.785435324,-0.69646171,0.131578701
-0.774318429,0.558609403,0.264653939,-0.943215045,-0.732391237,0.760137366
0.118976522,0.031673843,-0.251718075,0.030296569,-0.075796742,0.552871075
0.181898128,1.881071317,0.739973207,-0.347516097,-0.23149136,-0.337491329
1.428192296,-0.037999139,0.423121526,0.454262487,0.267295016,0.220795238
-0.729251367,-0.019908175,0.765896227,-1.131048047,-0.6837807,-1.612320228
-0.122118556,8.533060954,0.485077138,-0.475242538,-0.482998049,0.591964943
-0.681580517,-0.00009919,-0.035968652,-0.880961822,-0.608399144,0.601119435
-0.699023937,1.677144337,0.118533529,-1.046254863,-0.682371699,1.258649188
-0.50677435,-0.319257748,-0.387326551,-0.115676507,-0.215992348,-0.903441564
-0.942801112,0.212873273,-0.416702074,-0.390449355,-0.480180047,1.36703898
-0.834068504,-0.337617799,-0.417305551,-0.316389486,-0.432978511,0.159516677
0.142958777,-0.0215227,-0.078878652,0.349076006,0.051013353,1.002979022
0.700463003,-0.33565139,-0.051688234,0.601308894,0.324359559,0.021971573
1.968527185,-0.272498607,-0.090942198,1.239941099,0.828077438,0.061475509
1.700513249,-0.060871583,0.384152795,1.098261349,0.775239899,-0.444276307
0.149673808,0.58270309,0.257743229,-0.173636404,-0.318849425,0.896521672
-0.23797732,0.15448127,-0.041069621,-0.261649582,-0.268829888,0.653520312
-0.746401126,-0.356495327,-0.04195858,-0.262722914,-0.206129341,0.625712254
-0.929155698,-0.16115845,-1.542482796,-0.318536149,-0.479475546,0.674760627
-0.277132022,-0.206717046,-0.771933648,-0.740355404,-0.532313086,1.002168046
-0.466210078,-0.376180118,-0.506681887,-0.459142567,-0.291373905,-0.337909896
1.254267109,-0.35080309,0.037855841,0.733328661,0.089760882,0.582154797
-0.070395195,-0.387771583,-0.027014145,0.212762913,-0.260375881,0.471745192
-0.114581276,-0.332318844,0.181219638,-0.225156313,-0.439319016,1.123100355
-0.870736883,-0.404972488,0.61695877,-0.692055489,-0.402684989,-0.903522732
-0.579190971,-0.232425258,-0.476660123,-0.492415841,-0.409729994,-1.187392027
0.651539202,-0.095708074,0.219029583,-0.579355688,-0.44425052,-0.168496949
2.269842194,-0.349747439,-0.016967843,0.53905567,0.28561203,0.014977058
-0.387000116,-0.249481271,0.784955531,-0.613702294,-0.37802747,-2.367248656
1.615782473,-0.30166356,1.480155916,2.078212952,2.385023611,-1.341874481
-0.215894068,-0.095666675,0.162851691,-0.496709167,-0.397048984,0.62559711
-0.966333088,-0.366223878,-0.632461047,-0.889548473,-0.701393214,0.628005893
2.883415954,-0.397707124,0.697519185,1.876426642,1.641775551,-0.787492594
-0.153892597,-0.36597549,0.140507348,-0.165049753,-0.089886753,0.381874123
0.756101834,-0.376221516,0.367291394,0.12796973,0.093987885,0.218500887
-0.966313511,-0.402592098,-0.959096788,-0.566475711,-0.402684989,0.120013985
0.100006069,-0.267841323,-0.724606282,-0.802608627,-0.6837807,1.393255333
-0.106084706,-0.346290699,-0.51907119,-0.489195847,-0.60417214,0.760436176
